Sample_name,proc_dist,centeroid,LM 1_X,LM 1_Y,LM 1_Z,LM 2_X,LM 2_Y,LM 2_Z,LM 3_X,LM 3_Y,LM 3_Z,LM 4_X,LM 4_Y,LM 4_Z,LM 5_X,LM 5_Y,LM 5_Z,LM 6_X,LM 6_Y,LM 6_Z,LM 7_X,LM 7_Y,LM 7_Z,LM 8_X,LM 8_Y,LM 8_Z,LM 9_X,LM 9_Y,LM 9_Z,LM 10_X,LM 10_Y,LM 10_Z,LM 11_X,LM 11_Y,LM 11_Z,LM 12_X,LM 12_Y,LM 12_Z,LM 13_X,LM 13_Y,LM 13_Z,LM 14_X,LM 14_Y,LM 14_Z,LM 15_X,LM 15_Y,LM 15_Z,LM 16_X,LM 16_Y,LM 16_Z,LM 17_X,LM 17_Y,LM 17_Z,LM 18_X,LM 18_Y,LM 18_Z,LM 19_X,LM 19_Y,LM 19_Z,LM 20_X,LM 20_Y,LM 20_Z,LM 21_X,LM 21_Y,LM 21_Z,LM 22_X,LM 22_Y,LM 22_Z,LM 23_X,LM 23_Y,LM 23_Z,LM 24_X,LM 24_Y,LM 24_Z,LM 25_X,LM 25_Y,LM 25_Z,LM 26_X,LM 26_Y,LM 26_Z,LM 27_X,LM 27_Y,LM 27_Z,LM 28_X,LM 28_Y,LM 28_Z,LM 29_X,LM 29_Y,LM 29_Z,LM 30_X,LM 30_Y,LM 30_Z,LM 31_X,LM 31_Y,LM 31_Z,LM 32_X,LM 32_Y,LM 32_Z,LM 33_X,LM 33_Y,LM 33_Z,LM 34_X,LM 34_Y,LM 34_Z,LM 35_X,LM 35_Y,LM 35_Z,LM 36_X,LM 36_Y,LM 36_Z,LM 37_X,LM 37_Y,LM 37_Z,LM 38_X,LM 38_Y,LM 38_Z,LM 39_X,LM 39_Y,LM 39_Z,LM 40_X,LM 40_Y,LM 40_Z,LM 41_X,LM 41_Y,LM 41_Z
USNM174715,0.05830917440458262,504.988090962984,-0.00178014340456597,0.008105238229841548,0.000530802181842682,-0.0032494849856420384,-0.0065584739101401885,-0.009166456204313639,-0.011546710355867724,0.010432025773997908,-0.026681720738835766,0.02949386143361464,-0.051652606638250616,0.027422525458135817,-0.04495739924523546,0.04975572539260056,-0.0656351145950919,0.07351074103489875,-0.09175652267591515,-0.0014791462073649418,0.006334899451564008,0.009176550622512623,0.011693441659638482,0.07290676639577691,-0.07026888723622086,0.11379485934194014,-0.11204611006095944,0.023715507345232704,-0.022255873793142825,0.05017751751762615,-0.04300685819758112,0.15813055834289183,-0.15712836132075925,0.1336309706864637,-0.12671774317981438,0.07011066085335264,-0.058143848825267554,0.047034869149476334,-0.029406537471396908,0.045474436311352805,-0.023083616085446634,0.07773064252987538,-0.06264098458082411,0.024630718495709764,0.16075076019593793,-0.030824054599231872,-0.08004501732055269,-0.09612460443421238,-0.13961473894039386,-0.19978843519935655,-0.13743844999483826,-0.13412352033618474,-0.1761482737507274,-0.16993426582429086,-0.13869590539104193,-0.13332944220409385,-0.14979913752728455,-0.1390998753136018,-0.15032390237766874,-0.13821668616918156,-0.0005837375040721012,0.10407021562028755,0.15562786710935694,0.21319754156358287,-0.01920001810204197,-0.01893466530977208,-0.02428330629425438,-0.01649500381666512,-0.0008134458914100891,0.003764879897602319,0.03526067214424731,0.04033009862343074,0.0033054631229262454,0.014925539130679557,0.061261285297246205,0.06989515226960556,0.08473906667896414,0.09039464559480313,0.1418671465609799,0.14538010069147655,0.2074746343273173,0.2113677954437527,0.1601824299617482,0.16539047357122186,-0.06326162225477161,-0.02732414110468589,0.0469984036674662,0.01828485525021676,-0.010652460820215386,-0.0923335949660571,-0.09485840698205664,-0.09718123403677616,-0.09481682184296959,-0.09710796498219415,-0.09944267350522448,-0.07643222987705613,-0.07602033897562264,-0.08365022187573706,-0.08591760207834079,-0.06807559716527722,-0.06947959067064517,0.12752505514246265,0.06343839531988033,0.009027211191551891,-0.0016146239252962907,0.1373965750638413,0.13853521577693878,0.10223733008809907,0.0989164596952898,0.09138756927581544,0.09028853345708612,0.0634166126279777,0.06406217240618597,0.03315055235147859,0.033075303052177506,-0.010139577438141437,-0.009624713811349985,0.035772396358681055,0.03788333722852818,0.028609851212116084,0.028512819220912776,-0.002747323904238749,-0.0007571779622157348,-0.0449602005670322,-0.04212052964080247
USNM174722,0.06459724937392913,493.08944979182024,0.004498077531751248,0.008214249023084427,0.0015018938553178023,-0.00585036884871766,-0.004632637334989858,-0.008791001101770146,-0.013330213217425132,0.008212426626034785,-0.024662475665539012,0.02506832661675405,-0.04678703699530427,0.03053725034442078,-0.04871346572261936,0.046671221203706814,-0.06589113093877214,0.0722768686773885,-0.09155485288160982,0.0007517307150670079,0.008045529905652155,0.009098629725506088,0.011407718346590765,0.07244623774654717,-0.06544551847667857,0.11302855140631585,-0.11316025831623286,0.03226834189431025,-0.029465717612343952,0.06453576108079496,-0.06255953715284704,0.16153778321274162,-0.15928894027198054,0.13453411924488037,-0.13046257000215455,0.07262454812599661,-0.06194571921755537,0.043732373433150055,-0.026802246132250844,0.046355617698451944,-0.025060671854456467,0.08462929599637639,-0.0675721906675941,0.03756130740069159,0.16522310200847518,-0.025917884064246215,-0.08444042964313517,-0.10073174709092503,-0.14370180312538203,-0.1942017090523688,-0.13984162090604663,-0.13600524601950867,-0.17897324553011937,-0.17544951489447733,-0.14041846376390393,-0.13766673952846045,-0.14660992220093433,-0.13948636858508573,-0.14545298193096834,-0.1386298280246029,0.009267210717620671,0.11279925962066012,0.17282902384207285,0.21312556446684838,-0.019248001590074094,-0.015236350655913044,-0.021542077131657705,-0.019037327468092755,0.0008377086292668176,0.004109781178240138,0.035679257157889166,0.038424195837465334,-0.00496153897444874,0.007335680246308533,0.055399789001044815,0.0697953310921085,0.07638964489565506,0.08119094326364287,0.14500112114293584,0.15040608361365645,0.20502817268263884,0.20801313964694573,0.15572056496705716,0.16341591876912762,-0.05357670999151971,-0.0190009724519673,0.0344439592295481,0.002405148012172658,-0.014603392290516992,-0.08751173889666318,-0.0907078281301441,-0.0902931766759615,-0.09207906040783605,-0.09370208313055697,-0.09428996416323679,-0.07027453670321938,-0.07490777609786935,-0.08289924673050436,-0.08444097610210274,-0.07247179175524995,-0.07449888004022506,0.12100669058795753,0.06137430139032483,0.015298408966537577,-0.0022591579506955205,0.13630178522368464,0.14130321211718574,0.09874605843408073,0.09904815497506517,0.08292555359242888,0.08493014304267775,0.05705760158454148,0.057099588806425856,0.032514862181742724,0.03575615553210834,-0.002119584138246933,-0.010091910652846729,0.028926403785500904,0.028722168759104782,0.03017937688233725,0.030333564494281543,0.0008049184693668063,0.0005378574132988091,-0.03485891203475822,-0.03512821513625402
USNM176209,0.09765123415384028,515.8629411835913,0.0007004826611481761,0.010506454859265461,-0.0002239173719020283,-0.005298788869963604,-0.006353300403210212,-0.00784548333589764,-0.012452757347857746,0.010861989678926562,-0.027046498232669927,0.02852060955589673,-0.05113908167181154,0.025978390046274356,-0.04470803701904464,0.04683526182068965,-0.06525789918171479,0.06453041200048698,-0.08396243481062847,0.001849273587487367,0.005704993676260874,0.008910890030958655,0.012753695714068711,0.07673113362467805,-0.07068810474178673,0.11905046709853644,-0.11893856459328737,0.03592065828111886,-0.033646196351072584,0.06718454097689189,-0.05933150508314634,0.1519368751965156,-0.14879728800373498,0.12604200666190088,-0.12128762013909306,0.06282477967356738,-0.05688776676224522,0.04518641933623232,-0.030366885257942768,0.04820675563095082,-0.02145736259511041,0.0768667920518463,-0.06141339039158035,0.024346899701491752,0.16786003058870633,-0.016543084925696994,-0.0858702004550098,-0.10230353076966545,-0.15404939941732956,-0.21548679608056243,-0.15044404542302173,-0.1482501387852389,-0.19159497750006108,-0.1856097129721706,-0.14788778040756312,-0.14584770642507672,-0.16022346641701213,-0.1532565771359319,-0.14797850514850402,-0.14517657239449114,0.035262634386368195,0.08629429644518455,0.1433915544930563,0.20700794461941222,0.01273090253264785,0.020742104310661754,0.009121868479494515,0.01820936044982476,0.01568460210914204,0.023392992960006274,0.04604776158018485,0.05031863885168879,0.016110586024868787,0.02639705393717487,0.06480723458583823,0.07035758379740421,0.06828059188875303,0.0733945937933649,0.11967195127319609,0.12536459739347638,0.19992809384637786,0.2034268548307444,0.1583474165660415,0.1640243448122224,-0.073361774675417,-0.007693564669120617,0.029426279612596827,-0.00209943679201196,-0.018537184372722962,-0.09260618833244798,-0.08996317514927377,-0.09933699050519136,-0.09972932960842225,-0.09883133081192703,-0.10002396864276622,-0.07858798306657724,-0.07575038519694918,-0.08439369465158642,-0.08529631646935791,-0.07130844667744167,-0.07366336132159636,0.10630979402104143,0.04789117971968372,0.014021522032612886,0.03271875414560881,0.12551437374879293,0.12764837673318138,0.08879992069488703,0.0914155392706133,0.08137203198921351,0.08064034847069705,0.06312859821056747,0.06496954721084791,0.028943161043715034,0.02750626389575869,-0.012469204410658102,-0.010222526633435232,0.03859601671874122,0.04047334356822057,0.041656557587748215,0.04412207430330833,0.027409759679124724,0.031486825265463335,-0.03131310598768251,-0.02886229994783781
USNM176211,0.05195017543747305,509.0991063061369,0.0006238248688942128,0.009534487534019611,-0.002607374986645843,-0.005385445768486787,-0.004410664851875603,-0.007589566656875007,-0.01182173930169123,0.016946267851240968,-0.032688688820853795,0.03131815000199876,-0.051236235871347686,0.032224565747410255,-0.04794492751757989,0.050158530048004586,-0.06879330484026419,0.07810951897920715,-0.09477103988615217,0.0010771214299292898,0.0036998628060521165,0.007190087736371715,0.008585695912730222,0.06580336087320891,-0.06855029088776678,0.10955866028984147,-0.11128840559332835,0.026972368350066157,-0.0251091611881442,0.06825073921390067,-0.058877343459800564,0.14940593997933727,-0.1449225813211095,0.135957330505589,-0.12966831531970696,0.06663249870465167,-0.05070875592569464,0.04076870008837479,-0.02974196837455505,0.050956636842674284,-0.02735031681199723,0.08526546412070625,-0.06557368450033424,0.014566336102301052,0.1698495411496808,-0.024755004633564524,-0.08168392448165859,-0.09217302219390343,-0.1368649277905662,-0.2169019066870067,-0.13664555582318463,-0.13554094499598598,-0.17606864855950538,-0.17132944355494165,-0.13732568947307058,-0.13340025805130645,-0.15099249976000587,-0.14411172643004588,-0.1446718114136322,-0.13503631288809123,0.008710519244210735,0.09238418744723532,0.13964328373240475,0.2115008944152135,-0.023308606216568984,-0.018320781780187912,-0.020379405687535733,-0.00993550167294039,0.0065319086394088205,0.008364790360347478,0.03691774570318861,0.04169400759779127,0.0007338349354292519,0.01785465054183524,0.05977835313430771,0.07441404161647262,0.08429914236845007,0.0800920850867698,0.1349578754507922,0.1359219547201452,0.21541717924571455,0.22009014242474756,0.16269998860913068,0.17302350956812831,-0.05648451551124541,-0.022896256784380602,0.04701709005372897,0.007094515707670167,-0.004836203183927289,-0.09205967959634798,-0.08739543360209966,-0.10225161650423022,-0.10240652901349519,-0.09779723458226432,-0.10047100617495265,-0.07369681754805685,-0.07193723049108548,-0.08209663423249904,-0.08164195125972747,-0.0726996264093639,-0.06954396390539162,0.12613219250333105,0.053516810188547786,0.009022618713391852,0.0036473809074625252,0.13828601951325273,0.13573353595523546,0.09464211319550374,0.09763428735901905,0.09536214626116003,0.09385644015931147,0.06258241170898829,0.06115505619153693,0.029528972117820386,0.034257429550447235,-0.010617164869047567,-0.009652010529194096,0.02658067926640721,0.037207178895080184,0.03372754269748138,0.03259002709296621,-0.000993223632391924,0.0009970878965936487,-0.039598131293105375,-0.04149630681212787
USNM176216,0.05028439899584329,506.10368859832397,0.0019313159412604702,0.008501933409052831,-0.0019751979101704396,-0.005205809054769828,-0.006579010581897246,-0.007500022417864275,-0.011385179605121915,0.012920564328409538,-0.028181083542568874,0.030871303916615453,-0.050628986203882356,0.027118468989494486,-0.04407705275721168,0.05000099623997513,-0.06178639597437978,0.07928365577321932,-0.0991587475138069,0.0015207858263481778,0.004791530801239649,0.007245274876875423,0.012876155894898057,0.0760577155314615,-0.07372950962705224,0.11903556157185337,-0.11984886013509595,0.03105194333717577,-0.029445186619382155,0.05760937199575659,-0.059265619103997545,0.15544768665622208,-0.15081171928115483,0.12939466572527544,-0.12295034080083442,0.07689432013484879,-0.06595607346311662,0.053866350560816595,-0.03691848797812465,0.05326987470533838,-0.029537372974041198,0.08643396908503694,-0.07118278975670117,0.029347885853046495,0.1649657150291336,-0.015081201715259953,-0.08084077248962021,-0.09474867798652503,-0.14486887753239777,-0.21020250374084598,-0.14181411893539395,-0.1405985907649944,-0.18105700048160747,-0.17829593475687455,-0.13779207080487418,-0.13537828656495576,-0.14978022508238598,-0.14634465820054812,-0.14664281917156538,-0.14319735085197793,0.011682038792033757,0.09327159174247869,0.14769524345231436,0.21137922099275588,-0.006247045018380976,-0.0012021741854288074,-0.0053399715691806095,0.005916321435646575,0.0002279941619371676,0.005423736451044484,0.031981537462705656,0.03830135335060537,0.00672259569447458,0.02034775625008056,0.0596066202701685,0.07513652732301136,0.06508827401506917,0.07688773876652943,0.13954949243209128,0.14783276471792758,0.2052294304034813,0.21075820120922878,0.1499114018074916,0.16216883823955855,-0.06144852727590878,-0.011199228682495281,0.03568408311225325,-0.0021229378584554093,-0.022876521602498843,-0.09337960801507952,-0.08561382009690581,-0.10246834005411176,-0.10189562494989833,-0.09072184556606466,-0.09285701564921188,-0.07450809560238003,-0.0761888245461322,-0.08448695810080427,-0.08241881307200818,-0.06616063763599957,-0.06593995868186028,0.12569241044364848,0.056135185823884104,0.01788978703385335,0.01157688812296677,0.13811250786571935,0.1408634228684123,0.0916762898244108,0.09471962339523392,0.0790534790316842,0.08484485408520975,0.06304489204769598,0.06351883230517756,0.026029894839466404,0.02969975270144252,-0.016424963307537774,-0.013392761137065086,0.028328845008785495,0.03452001597308548,0.036401744427094034,0.039707032124176735,0.010926838859246942,0.013196760494700034,-0.038536058443228126,-0.03898260011049936
USNM176217,0.06589599871704364,552.7676744692533,0.0030082868873517383,0.010504714868978202,-0.0010779338460013565,-0.0033359041577173047,-0.003833519269409259,-0.008650161362916565,-0.015233767329109315,0.013036041244411878,-0.030507772227388402,0.028426718930669587,-0.05193942148754449,0.028821739388991168,-0.043637452443283,0.04756788652909765,-0.06397398874797827,0.06725771711561926,-0.08391824584749341,0.0023199435380207517,0.005512354278101752,0.00878308615981658,0.012836052348871163,0.063519452947704,-0.06310293886322696,0.10319530090168955,-0.10322573522891677,0.030919165235690414,-0.0277950602387791,0.05792699037169568,-0.06192138951799432,0.14845762028790366,-0.1453605959566615,0.12509204355139694,-0.11766482759027301,0.06952562078405922,-0.0616355112222365,0.044081164636802006,-0.0288583559124712,0.0464592387245676,-0.02149589711322441,0.0814672280531447,-0.061549888421958895,0.015365414641285156,0.16044301782326223,-0.013823660712088761,-0.07935512359747103,-0.0947357420386448,-0.1449449564867253,-0.21334220801409565,-0.1464928595756651,-0.14377445296525895,-0.18496092651996665,-0.17836157062466715,-0.1456610928536872,-0.14045906211993486,-0.1556752385240802,-0.14698101462270116,-0.15025571954194913,-0.13934389506642247,0.009432239491684837,0.0979999020218702,0.1516483149079567,0.22488210910944828,-0.018331823161899945,-0.018624415829854843,-0.022118052317260745,-0.014623301190319992,0.003591083751674364,0.0050527089280784695,0.0375490166605153,0.041893655934460206,0.007088797079662004,0.016032563671788267,0.064065918051318,0.07231435677339737,0.08616447817097926,0.09346454217659925,0.13650813684792454,0.14070716214132412,0.2197618164410489,0.22529551112352558,0.16687131825314272,0.17573305176175133,-0.07240384732630234,-0.00961890365381213,0.03631346482792697,0.0008441935457874907,-0.012579033475147341,-0.08752480063141958,-0.08606361101937184,-0.09754787497972561,-0.09755969554200611,-0.09586029293752507,-0.0924925335109986,-0.07367233288529398,-0.06996534905680957,-0.07932469816004406,-0.07994842033121498,-0.06444941865305867,-0.06691012826302249,0.10603405289401592,0.05357471478747607,0.013476898302808018,0.011434779919128934,0.12297325627965455,0.12418778555184345,0.09267014184252455,0.09557333196659265,0.0774490521400344,0.07799649715626425,0.06324283316479822,0.06554774323222606,0.02922023817900945,0.029297327376101544,-0.006659639952857905,-0.004982714131255929,0.03160827685772167,0.035065672496882715,0.041021112798907196,0.043340455932477054,0.011097534704402444,0.009457205938250356,-0.03887185065735515,-0.03499142472761403
USNM176219,0.0499770036790176,439.6414176926797,-0.0009286383639753462,0.007197796566995895,-0.0033240764246312616,-0.006908798261192399,-0.007255409374768202,-0.0069609135269601136,-0.012078835791878347,0.018618629684069646,-0.03204447040775676,0.04332416483586751,-0.060746173853424464,0.03240130007675288,-0.048652686607357006,0.05838489322020511,-0.07410868392642103,0.07694349118624562,-0.09666687120102083,0.0009464251700834108,0.00432656136922391,0.008772739019565634,0.012607896739243958,0.06471748581870365,-0.06126180001265499,0.10896085813935456,-0.11030695121390166,0.02107404132817929,-0.01478405717482536,0.0685020742574915,-0.06120694726617791,0.14274283370053756,-0.1430472738436603,0.12766921019232522,-0.12167325167978717,0.06960973469625803,-0.06026762336426962,0.04179853019025381,-0.025376417004767414,0.05247466117111133,-0.027459215493728473,0.07919044149277737,-0.06520467406208744,0.016274317171253657,0.15886071147676747,-0.00788561853501918,-0.08360618678259951,-0.09777003621861959,-0.13926832243591425,-0.21715864015365,-0.13864586659645314,-0.13590931144518126,-0.18881256670476204,-0.18509637085673758,-0.14794690178150185,-0.14498145060843295,-0.15585424471553777,-0.14667000665824742,-0.15274373054498872,-0.14286234102125228,0.015391153294609987,0.09884806426870653,0.14930872710264184,0.20634114704883824,-0.012511340363147471,-0.008630859723067376,-0.007089085193442689,0.004267730369892799,0.013630315565142707,0.013665542342625089,0.046577994465649364,0.052654747448129986,0.009368979347067742,0.02473895752469284,0.05964033134286732,0.07441998974465044,0.08305639064633691,0.0910845668086114,0.13319461029373017,0.13447018314744114,0.205492255852948,0.2089281720664983,0.1525962593983409,0.16063173361110664,-0.05317653706108503,-0.005594105270205784,0.04152661966528685,0.0021072829795592413,-0.01305115430555154,-0.09007355132042538,-0.09517807697202217,-0.10205897323831732,-0.10221592336304322,-0.10121198748210107,-0.10081370394945877,-0.07223375006025226,-0.0735621143973588,-0.0868308058577149,-0.08634330219568759,-0.06828200585917352,-0.06881239100347081,0.11653812046059535,0.06501352842145137,0.020840649255335002,0.017373090339826827,0.1370059517144088,0.13650228425876,0.09037540903464278,0.0933064523959297,0.08409943318317031,0.08539369605998266,0.05507338222195278,0.06002728741286153,0.025135438979098847,0.025716637584940156,-0.012628280866157896,-0.010334253230592014,0.028126850827954023,0.034021151690882476,0.04309159829248627,0.04316841677277872,0.0035611015631881724,0.006643142734010815,-0.037771111151914324,-0.03447549826457157
USNM220060,0.05793795193258306,401.6742693114386,0.0037010365830978374,0.007921196982846882,-0.002347592541144135,-0.006642863331860424,-0.005964115966720419,-0.009258169371627751,-0.012673513209349094,0.007741921511640656,-0.025560654968779548,0.031591139330767744,-0.05710499196830946,0.03128130499802421,-0.046224002842002676,0.056211954038338174,-0.06860485604463985,0.08096722334905654,-0.09528793437912221,0.007762597622280548,0.005336780371018804,0.006674663294159033,0.009375360191871294,0.07241427307592871,-0.07325592073641538,0.12453628435966266,-0.12352130580339417,0.02726892443653107,-0.02412137765866361,0.065953488076974,-0.06268797710392103,0.15339429336017413,-0.152975801860023,0.1219169860315361,-0.11128494045114952,0.07448213418223479,-0.0634734741318714,0.04637351199334588,-0.03322609828715265,0.048340850014160025,-0.030863019852820386,0.08406073227270333,-0.062228045567390054,0.01717520465057599,0.16400812763136688,-0.022684811677673677,-0.0810617056781234,-0.0950182738486845,-0.13974582417234763,-0.20759838499727865,-0.1378299658420378,-0.1340102085144055,-0.1790589826388544,-0.16852995715638586,-0.1389579426889584,-0.13273431331501598,-0.14509143952205034,-0.13745847470498893,-0.15018940267246741,-0.14160986471627837,0.01002929192328881,0.09143637284529799,0.13953658652023687,0.21229178900035045,-0.01823836114520134,-0.016282524010046897,-0.012060997314401557,-0.0012919351042650878,0.006119539326640279,0.0037956591484285037,0.0446888422737832,0.048839460998775085,0.007211728099527903,0.020390946120401664,0.059080505439861736,0.07078772525704728,0.0825981855745946,0.09488694726408443,0.1248012115085633,0.13285265855568462,0.20090139925546957,0.20313461126282728,0.15988782985857075,0.16499874720408678,-0.07323921007472681,-0.021510535432930578,0.034520552909324306,0.006961226834259601,-0.021846777897764322,-0.09778843709243441,-0.09219703963364204,-0.10105509976265767,-0.10138965658456583,-0.0943473594415208,-0.09185331072178256,-0.07735240488109246,-0.07799810027461787,-0.08987740452345505,-0.08823654387856596,-0.06903495269734955,-0.06901860281062876,0.12409447448382395,0.051366806443338096,0.01473820312924345,-0.002483373466322786,0.14674009432266866,0.14842304876133142,0.11061548519510082,0.11080580631937666,0.08985297438622628,0.08869597448711954,0.06513966615981803,0.06524207152309427,0.03339614304969914,0.03895240135197122,-0.004244951390731725,-0.003060433183053807,0.034173665302867966,0.03626139521851161,0.03163921041616898,0.0312543799966919,-0.0022240148830538166,-0.002961312836880139,-0.03860154643564963,-0.04255251238721262
USNM220324,0.06441267205204873,515.5738642811096,0.003554601126484596,0.0084791376915538,0.000556089331078135,-0.004297062810597834,-0.004356862703424963,-0.010140081496685615,-0.01462474880845099,0.009477333589462057,-0.028062173996325927,0.028756126369115658,-0.04996328271305451,0.023071357598404667,-0.04455764165825156,0.045736854117960905,-0.06544629880185679,0.06993897299625164,-0.0900134899984575,0.00029058822312474783,0.004859146513446455,0.007287906344133311,0.009249735170213472,0.06429038497223975,-0.060236371466605,0.10434763543980038,-0.10532000809274088,0.02172715788619057,-0.017431261919743812,0.0681204083767252,-0.05878868933423953,0.1478376160468287,-0.138957818095665,0.12860040378398743,-0.11596562830920548,0.06649159432121603,-0.058145703701652625,0.04100804483677796,-0.026864351208730958,0.047942433547063665,-0.025310262177197052,0.07726560557237132,-0.060407396561543335,0.03483019686786791,0.1730601455128387,-0.026777142929591515,-0.09561546589946962,-0.10341160754345603,-0.1438226739451151,-0.19978682980631274,-0.14583448116699435,-0.14024961587597784,-0.18235756170945674,-0.17381435323444694,-0.14550570765639093,-0.1437495241726861,-0.15311918588157397,-0.14856877062045756,-0.15233273783527848,-0.1464590405836775,0.0033377178840486954,0.11287579032414634,0.16159537975605992,0.21374300419969744,-0.028245513226807302,-0.021228632425314503,-0.01926484335387168,-0.01087508104118606,0.0017242152509079455,0.0023515367887060063,0.03777491750035368,0.043825012258547145,0.013149591015658536,0.022326721557395953,0.06803638103659079,0.07536296623939095,0.07883491983682057,0.08547868017722252,0.14631087688364183,0.1483085274085272,0.21124169753799363,0.2161321014659921,0.16310787205926852,0.167610517346391,-0.060912095980791156,-0.017268099177432716,0.037507580187201274,0.004708355678801293,-0.01788025437267771,-0.0818181687320657,-0.09818262691621474,-0.08903047995854615,-0.08734891841047578,-0.09097968233993084,-0.09410503857808498,-0.06611498051976882,-0.07265940876208117,-0.0771128795735221,-0.08105778504767787,-0.07421594678261312,-0.07980245447901914,0.11581355909304904,0.05760024970757951,0.016877840241527782,0.014256521190923077,0.1269574885540843,0.13064898984332418,0.09537031796699542,0.09579547477666182,0.09132579332574228,0.08980379753265492,0.054959377503443305,0.05626399922384405,0.02496245324999832,0.02912391278292438,-0.011905985600015458,-0.014883783364820827,0.03710530830428833,0.03260637802227061,0.0298225764593228,0.02887578072387833,0.0060891529828753154,0.006522216786472997,-0.032101926527739,-0.035616609014384445
USNM252575,0.05548026917254948,418.98062091333867,0.0005378070945552786,0.007143589374339837,-0.0009551031960325886,-0.002962323391758935,-0.003470268727276801,-0.007325458340978961,-0.01344841885562364,0.014729800977674663,-0.02869208481085601,0.033696716323312684,-0.05697018624655535,0.0299514861494651,-0.04645164586645372,0.04968518633831028,-0.06552632443433343,0.07966612423485062,-0.09216948578107903,-0.0005010864407353081,0.0044059463867195565,0.006751496071504495,0.011085882085436718,0.06883810810017854,-0.06937996374881347,0.11660940430305732,-0.1124894899160341,0.02022289923320236,-0.018587707214429035,0.06470479613039233,-0.05696163769437735,0.14691626175788022,-0.1449214534226287,0.12270729523133596,-0.11708779029359677,0.06267505277537737,-0.052883421499411755,0.045017803325464185,-0.03280599006845799,0.052537348161397414,-0.03140828856072062,0.08479218659176398,-0.0676770621360634,0.03824697778235514,0.15819638713927509,-0.013628671575305267,-0.07491509712067657,-0.09694188721893382,-0.14412406188635368,-0.21708373814516105,-0.14422997631795556,-0.14143617402819136,-0.18703405064920356,-0.18119572211230114,-0.1535946058894042,-0.1499367376849354,-0.15329086118100954,-0.15006107038175648,-0.1581290195157035,-0.1489992696925056,0.015197248857658777,0.09731577950598073,0.1463191729742045,0.20886567094610373,-0.014999185704579738,0.0007711332349932925,-0.00482823448899014,0.010962641614050875,0.01456625727398405,0.014864514442443341,0.04735405719967076,0.055652588215887824,0.01021128169455623,0.02645050228641767,0.05653225594103928,0.07226748111294888,0.08000114075972385,0.08921127010127662,0.1369219753757011,0.14137758925969518,0.19589031453535705,0.20214015447202774,0.15308194447217754,0.16203002439543857,-0.04578153187649674,-0.003308704966224155,0.03470040307087746,0.0032587683703618263,-0.015190704342232221,-0.09104961274602824,-0.09516226715350623,-0.09531561674105175,-0.09767125502271129,-0.09920384540272424,-0.0990558660140624,-0.0811039573470477,-0.07725989969006983,-0.08822446021771882,-0.08472615774421087,-0.07518702778633109,-0.07051845790353065,0.12138257818737803,0.05501582022616463,0.018592894860089165,0.012896382795755815,0.1299881686925794,0.13431078396763235,0.09605851537378995,0.10237124354451686,0.08002755019902266,0.0816665992056891,0.055339305316165106,0.05951690457387896,0.020346244326463616,0.021921925068791953,-0.01128947325249235,-0.010297158954396078,0.03737070865217992,0.03905214198301371,0.0376346926835089,0.037818701329551306,0.012264335415322942,0.012358434651923057,-0.031095321088720096,-0.032451784245099
