,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51,PC 52,PC 53,PC 54,PC 55,PC 56,PC 57,PC 58,PC 59,PC 60,PC 61
LM 4_Y,-0.022111110490324614,-0.11638442414345786,0.17481947704424627,-0.1633972224676464,-0.028714399255207294,0.15790311734394283,-0.15038906034676008,0.021524294932824345,-0.07308865083265353,0.009365947020972206,-0.007834936603994369,0.011442282968622423,0.1293567790455732,-0.0653925181569726,0.022902395212487027,-0.03425520399242476,-0.05357081509902864,-0.09692021321611458,-0.0802126926743926,0.02192791480835464,0.16421903150781617,-0.029602067738479454,0.03290826161390447,-0.10180604245346954,0.0059675775302623635,0.09320045548408883,-0.04455607855466523,0.05370010444016902,-0.047380886679800886,-0.1433055314721254,0.03515709388695816,-0.0028072597761163547,-0.009153250913315397,-0.1335472241595575,0.06090377733629922,0.005154392995338444,-0.03854010925490983,0.03879290360909087,-0.001997277256406634,-0.052131870295069264,0.1670364796881318,-0.03944908070633979,-0.03218601676623505,-0.005123333079171039,-0.030422390169344057,-0.050156172238144,-0.06713240471611583,-0.13075380181579635,-0.0016417446556509542,-0.022849171731565393,0.025304184943375416,0.10311979980288162,0.0005502906789049966,-0.021711721880017715,-0.01636711648974047,-0.0639801919467878,-0.010684417833825786,-0.038691384457801695,-0.0377689593002533,0.07728167008817935,-0.12044291426447348
LM 4_Z,0.08679657676772337,0.08286009678958137,0.01960354178451573,0.07360215698698783,-0.0879127770538169,0.0677902662649151,-0.004002082389252421,-0.08599159429685523,0.04608122148921426,0.08676278847773565,-0.036752464658752454,0.021426336101836543,-0.07381771486704083,-0.05339539818630673,0.11473275864328362,0.0569692693819093,-0.09853221669401276,0.0018843960552307054,0.10910935558865274,-0.05283753283943778,0.0026007918436774385,-0.06072474973641234,0.11929743571463777,-0.05124752279538043,-0.001535754915148355,0.17950146123162428,-0.0411602457789448,-0.002698821572431752,0.08273778337399511,0.08664137834060716,-0.059853755292403575,-0.019468859739655474,0.05346160407525787,-0.09590273820999752,-0.07210804566764065,-0.10644033121314117,-0.014713323681856717,0.04004589212639495,0.08185626935368975,-0.003414653528327537,0.09320712294703405,-0.015173937516080864,-0.038541617649210304,0.02618252950240116,-0.004335344563604926,-0.007444212399131088,0.08982449497718831,0.06202789645020828,-0.029682323271724806,-0.11840746586790046,-0.18878963457279646,0.02701426136044949,-0.03531212166007258,-0.08679221216243968,0.007203539945703394,0.03413234360899421,0.03220644991973404,0.02087466041401736,-0.10860470760708286,0.059461505289665914,0.09903356753517062
LM 5_X,0.003444034810579179,-0.011269521028585743,0.0143407970628297,-0.06113499016687101,-0.04544263089692385,0.04925304291490033,0.005636904594383079,0.011921366331917302,0.05009214226945326,-0.06321725939082239,0.06313456406658567,-0.06301693297433063,-0.0962253467245925,-0.09949025985048267,-0.024664740802529686,-0.05704686889057228,0.0043724805688110935,-0.01420605033330273,0.04614283157026941,-0.058092198264711174,0.012021230423979614,0.05435773598775203,0.04333878021874855,-0.05919865410180756,0.04484920654768398,0.09910846479829663,-0.07297286980399634,0.0820227589716451,-0.06028399517565655,0.061812128896816525,0.03228360652577524,0.07352247013622802,-0.06692419082595161,0.015845988733417287,-0.04015829661979731,0.135328142308449,-0.154592557894492,-0.1328378758097312,-0.09649516730737871,0.06945785338330615,0.09691485795003242,-0.04370705375614125,0.02668878391417984,0.10425554378063222,-0.12808255277182104,-0.14922582074539303,0.10183557255708925,0.12981367856717163,0.11941121772650787,0.13482781917037054,-0.030559357994331182,-0.12429399773624733,-0.1358267608776909,0.026645913468997022,0.1313775947012661,-0.02865878359415735,0.009502369120887146,-0.08592153298722163,0.03666276053409918,0.031993023953907636,-0.13223771615436927
LM 5_Y,-0.07963834524353916,-0.06191869294191244,-0.002653200782745141,-0.0743734367743346,0.06807432122327946,-0.04614550764747209,-0.02175787591427278,0.04998108946119391,-0.009426771216320434,-0.14158473717051406,-0.01764594678990404,-0.05466043381148727,0.08186431382291934,0.06133835731066191,-0.11045169545016266,-0.02828792542058248,0.1277643025479463,0.008579649318780778,-0.0810916844875935,-0.007566354002717671,0.06136563716068323,0.030892825822492503,-0.14131896873663397,0.037683105675744524,-0.004343323434890181,-0.05436165306562808,-0.0043982946718229944,0.02696432012683883,-0.021558423536012214,-0.09845290498263806,0.03631244048307409,0.05984847036639271,-0.038504082986942155,0.09132690886055214,0.10429754256586321,-0.005827565910066456,-0.033410754157830215,-0.04413034164140118,-0.04628539901384088,-0.025073229194755818,0.0637203912062123,-0.07959727164133963,0.0559517345949448,-0.04770921960619893,-0.05729634860454937,0.10214780009068004,-0.09269916346218751,0.006975565779868441,-0.0796664539242495,0.015316628717344974,0.014492283147158252,-0.19491827144139973,-0.05133951122211072,-0.1543510514970647,-0.05522139042416347,-0.03930356532526505,-0.002285148795348975,-0.050314003544657704,0.10272292636324623,0.042889759467734156,-0.07231230971052523
LM 5_Z,0.04688497163958733,0.13781437509122227,-0.007868792995124736,0.19901264015093584,0.14880217378311628,-0.0011277898793629801,-0.060847093964588005,0.09655187413940716,0.23544850246684168,0.1828757616265466,-0.00033094367162782995,-0.06753307915848306,-0.0225264399752953,-0.012118381827904005,-0.12110423968942374,-0.015822968823731617,-0.05646298091704504,0.05936549979905791,-0.018831403120763212,0.0445916711504343,-0.036990130558510685,0.027358294432175932,-0.04715599828956791,-0.0285914121108141,0.05459854441022417,0.11644317351166289,0.07545635557494985,-0.12054962133298941,0.061153299016014906,-0.07578990199741446,0.039161743424951025,-0.08245577696283146,-0.1493149931490932,-0.05035283227959827,-0.04792133019612195,-0.021753382188020073,2.949762787779562e-05,-0.012301213989059045,0.07727798554605428,-0.06994368581199611,-0.009986934242926297,0.007477349898484498,0.018373029426101327,0.10091265849654443,-0.14034645102737925,0.031965936362866265,-0.04207691704372555,-0.025964471598939883,0.15841450999955645,0.1289783122606891,0.08386184986743328,0.026147712464432427,0.07135393768309345,0.02771548876228351,0.1414619760175676,-0.10986376668546458,0.16202217191786134,0.0048287963334786976,0.038438709846117,0.017555277424443662,-0.06236779155474422
LM 6_X,-0.004064632074946414,-0.014867081864639429,0.009608719095831377,-0.012392560583026001,0.029788535845090877,0.0021539132466074605,0.02209118933549448,0.02055947364173675,-0.03683114600842924,-0.023787090444415546,0.0012805612710903025,0.02891643658136637,-0.07160665469860321,-0.15486831601782045,-0.027799084741299836,-0.014053750020732114,0.023050880588790627,0.003841024910056154,0.011193873873661248,0.02235051394616823,-0.03539099261692254,0.16050926738913132,-0.048011649780113214,0.12436776492581617,0.06879758782821267,-0.02491978370262264,0.03627321062282834,-0.011810034670113014,-0.050231280273301135,0.1324798562417506,-0.11843427741492304,0.03632930157033203,-0.09905081063930257,-0.0031486394544344033,-0.09342654623381909,-0.1718908892925579,0.004118528635357463,0.00904471083237982,-0.17500884093264119,-0.03677141389858605,0.13044634851490733,-0.11624916779475021,-0.09154599347055317,0.06989042833964815,-0.004583212105774087,-0.009869251952195696,0.010207254659752734,0.05175519742582751,0.07822679541045888,0.2536422030370879,-0.07174350452616247,0.05348906791871153,-0.023149540951814162,0.07371624144281413,-0.10838527546372327,-0.078325669736741,0.008883441397397558,0.01069931730447575,-0.021384240280685612,0.0038935855473129916,-0.07364973048225543
LM 6_Y,-0.045298209226161554,-0.13750378911836822,-0.02931196133741181,-0.21647405429357436,-0.1274878153614375,-0.05792797856501967,0.06553028640740949,-0.06693866992873174,-0.21861647419719413,-0.17783863952343915,0.10888873447948944,0.08274342213872851,-0.012273254687736282,-0.00571652581671328,0.054614593722578444,-0.02347596833210177,0.11980063231127408,0.012321877322821934,0.02714235760357614,0.04168995459672273,-0.17891296452339295,0.05147009067072896,0.06451891491908406,0.0030107796471026266,0.09159363310414166,-0.036674671375733124,-0.03155431412544581,-0.13718514914345573,0.07297980505343538,0.11485719720621394,0.07676830813989312,-0.022213893760873123,-0.011404669975269555,0.08355819906498664,0.018974037555942656,-0.006717755886412491,0.07187687894342512,-0.13601748851337223,-0.016475024115039677,-0.06287125410690994,-0.06764402574929713,0.08133418698763485,-0.08002926336240967,0.01217007038891475,0.028552063920361033,0.052382179235643256,0.17692624336572343,-0.11623009817062105,-0.13315022732010245,-0.00271882656803071,0.056267142339983034,-0.028203434764276395,0.19457540152856764,-0.005253032448746328,-0.026409516079019,-0.027955785661719808,0.18379703799486863,-0.08911324580723658,0.04846579830638591,-0.0372909625802207,-0.06433059831195369
LM 6_Z,0.040433000601813415,0.09758317014074061,0.058026562682998065,0.09927062418671408,-0.1306305668121691,0.14539806530912908,-0.06925529771680614,-0.09858738785985617,0.1149118705219637,0.12580924111116423,-0.0664394996697452,0.16256519312799814,0.08110202403661637,0.05195518258666029,0.09556992709308511,-0.06407727071823596,0.005985662428943828,-0.11708647415001326,0.036897931094662564,-0.08619979199103345,-0.03347784929609503,-0.05182835416647815,0.1438547497296791,0.15652196228253368,0.07456265107825184,-0.11812069072354969,0.10296035260110323,0.01123876790254712,-0.05598058124028055,-0.16686846292666557,0.06448079848502627,-0.005688202745844032,-0.022514558262930362,-0.019309189825916784,0.08471847173248986,-0.07600593606339345,-0.010329675975226276,0.046273823299008955,-0.030274363208800933,0.07921015124713823,-0.08811669325681876,0.0033179626671872055,-0.03869931845698661,-0.040080831370319744,-0.14641893100029285,-0.09481456692701526,0.02576278629664955,0.05346591543971975,0.013058079823691365,0.008378673548608422,-0.028970098088229125,-0.0947860622296271,-0.0006775386949881544,-0.054992732225424924,0.08321793458505723,0.018401291576801333,-0.07801569551361515,-0.08131181845069056,0.13653321523310716,-0.04604909821539952,0.015418407980621666
LM 7_X,0.0034193972255171607,0.011548059338619184,-0.0021701461895029836,0.01732043755297633,0.0367592989873442,0.04096760541228016,0.0042096664803761815,0.05125571350660472,-0.006993003648160396,-0.0030880176257020446,0.012399707150506471,0.08222157261642984,0.05049817834128152,-0.02055422848957687,-0.026188376349442877,0.01349864359721055,-0.08038626114500906,0.15474220881739734,-0.04672913213012131,0.11869461668595072,-0.08412510399694194,0.07640934573026474,0.11162814202060292,-0.09876417918611131,0.04581640014539213,0.027473771667626243,-0.0356668331896188,0.009474454540226378,-0.06668381099069781,0.10397898143950679,-0.020806639023016694,0.029919240132900475,0.19759769614331146,0.09780073980732797,0.09236754440270276,-0.05643265621841437,0.0984518814845278,0.04335358334312572,-0.018045244940717166,0.12263282223700198,-0.1794841077369181,-0.08704663795887575,0.13383284726101974,-0.2156266254290794,0.08623991286625647,-0.09606272647405281,-0.09452195497034882,0.07753273406701004,0.18670359260809785,0.20359963364266687,0.09762132720341757,-0.040228597411224164,0.23013894174681515,0.09559510435340259,-0.020622639371121326,0.0154028783656307,0.008366599169448166,-0.029610671003255665,0.08873890748106367,0.04091865718739954,0.09717810109742457
LM 7_Y,-0.02957546140109478,-0.11936142255688242,-0.0889921974687141,-0.04917238561607457,0.09588622488591772,-0.1834195163906449,0.06580005342366291,0.0453077169107686,-0.1341064854690014,-0.04968157087223547,0.22069566711807648,-0.03989327589631218,-5.521077711709635e-05,-0.030205771443659428,0.05795971713579866,-0.020537896584627756,-0.26280366733614124,-0.0022831561066403005,0.1740872041425309,-0.0664172936465797,0.12591530263872686,-0.09234704084544203,-0.04302158725701769,-0.11568218775266279,-0.05679123370164998,-0.21634355401287958,-0.008143187892557387,0.12436888729504626,0.017572099495208576,-0.1065069919492693,-0.007344072009110428,-0.06772982245715016,-0.11818979618269067,0.02188690935923055,-0.15117002717638928,-0.030783522549279966,-0.13835121453639085,-0.09978410282224956,-0.0753215226111332,-0.028801928183098322,0.008181846634701914,0.05350997255158937,0.03978175176496885,0.09619577525540413,-0.002138438201451472,-0.05819221317007353,0.02884471298737312,-0.028111494755074178,-0.0037039329319372843,-0.0031241597890928757,0.11832819999715719,-0.0043667502684460735,-0.002896117257696583,-0.00828051105097675,0.007101210306513296,0.042548955995433894,-0.07467295468375912,0.028021676838186765,-0.028874807610465684,0.12531893443923464,0.05457413297255781
