Sample_name,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51,PC 52,PC 53,PC 54,PC 55,PC 56,PC 57,PC 58,PC 59,PC 60,PC 61
X129P3_J_,-46.25207969561671,-4.8910683167421265,1.5333446661366332,-5.235276865561561,0.21922870371554223,-0.5322323482993074,-0.597912374848614,1.2566646927222516,0.3049651064044456,-2.6919595706264356,1.026609781482323,-1.948635056217364,2.5489547186354526,2.5591751203730957,0.40260943835495616,-1.3554879767072263,1.5598129582968434,0.6085557663114739,0.5583068711526393,-1.3603723733007198,0.8715259366614047,-0.796836495957143,-0.33421914220819404,-1.6154751865442145,-0.7225867971375443,-1.39729693761085,-0.873683922256093,-0.5553936269455033,-1.6062949955448471,0.8603161674061585,-0.3352590031207013,-0.08569133929376548,0.15744369644400147,0.4744803546146292,0.46869974590968233,0.2760696427046562,0.04044118881602181,0.6626920021333481,0.41728706071522953,0.340576181121713,-0.8206319445986986,0.7534475405177843,0.08572218420604663,-0.26377746165954,-1.5465047172602633,1.746157345179637,0.05394459340146514,-0.11399908765669843,-0.5259580859878498,0.5253978237871405,0.0571808226445932,0.23959477122431092,-0.7187513378508633,-0.036530182589925166,-0.07404397375433974,1.0215268604562802,-0.04250018696029449,0.12226925658405517,-0.24068293533686574,-0.2504280476942182,0.17820468843397425
TALLYHO_JNGJ_,-49.11216453056621,-5.263862863436797,-0.010986499305145402,-4.084490655925221,1.1980731970324288,-1.132356943200974,-0.8856333127227456,2.009118239110654,-0.6177553208454885,-2.264945488887194,0.8319269838182549,-1.1900938916194812,1.952380706868542,1.6691700300964758,0.42003945877739696,-1.3326943072432653,1.4669315432442198,0.36720677416876263,0.8302500917411079,-0.8832866289725964,0.4468061073578291,-0.8461492210291806,-0.48059746188475716,-1.3885708630855584,-0.5340594451533955,-1.2223061064419183,-0.3653372417896057,-0.23965272403119273,-1.4703265469694589,0.8568686619292507,-0.4460901678970847,0.026999233424439755,-0.10500177835618042,0.7651372991729644,0.4946447027768878,0.39163522232770537,-0.18403955424771426,0.559415974424682,0.3268945946610451,0.25942694053804355,-0.7932061111970253,0.7570568875636533,-0.21138931359948918,-0.06264563086943777,-1.2959738761500277,1.652509347656408,0.009755701341219504,-0.2429215066887911,-0.597040384998264,0.5006679100958051,0.20376858690252947,0.3223459836464625,-0.6253569388019561,-0.07871871304014189,-0.047840505943594396,1.0533380268912502,-0.14047468263151094,0.19327014951081053,-0.14303019151366472,-0.2898835932306415,0.1782046884339739
SWR_J_,-47.83303246825029,-5.064391772375365,0.6739431801754212,-4.175472667733973,1.0770763849746605,-0.4536567008064355,-1.4092013232332092,1.756965278154908,-1.3446756766864698,-1.3672401671736552,0.6386243154312934,-1.895993453200853,2.9052876992251506,1.774860697383048,0.585782254878048,-1.0354162426029807,1.4187342655365505,0.5089165991563395,0.614238945707925,-0.8957278595888,0.4209980237138818,-0.5985370061352361,-0.690770763398291,-1.5470609031334945,-0.7299677890244404,-1.0587154929739693,-0.722111460912339,-0.7028034971676875,-2.1455399769588976,0.843251632980918,-0.32340368027261396,0.3899162055570164,0.13047894498400356,0.5935721558151491,0.34362864139674937,0.6103786940952574,-0.14806957297218315,0.38659062973338354,0.6413060901870872,0.26915016534785197,-0.8064894163445269,0.9032739812902371,0.018275483786858077,-0.34009420261247086,-1.5593913933136865,1.584823628626306,-0.07779603625486484,-0.1112542077979535,-0.4824120960958189,0.5030677421686751,0.05974720734135423,0.3368508593126033,-0.679416769079394,-0.04048338718199529,-0.08814844141768453,1.0334014051203768,-0.09593109853154441,0.19619829189193627,-0.25837599869118316,-0.22532925939298395,0.1782046884339768
SPRET_EiJ_,-47.81943718533908,-3.5220354280941737,-1.7808011105750916,-5.817033752738655,1.1140648005957705,-0.06926510452790416,-1.5935323470887146,1.5217630239030688,-0.2717694478178285,-1.3489917308642032,1.1339846704659953,-2.538740847778349,1.7101104862784333,0.9575039866880379,0.49073386290541604,-1.0983388124863194,1.1792121824845523,0.6184750496601851,0.7466727111890508,-1.183055410784095,0.6486306126488492,-0.8329057006331271,-0.5808941146219966,-1.6457891476495474,-0.5347455581459045,-1.634783788144855,-0.561860765213023,-0.6658541486386874,-1.5874487074914918,1.0112530322870386,-0.3518257149474469,0.08770229199152133,0.058230799570602315,0.5258442039428252,0.36444544534144885,0.3623863934205043,0.08684158116138863,0.729559864436789,0.5562251461343786,0.2461006854887121,-0.8513855975667246,0.7661965056377731,0.11085248488444961,-0.22128774272329224,-1.4999571858573149,1.6051259783016976,-0.0576740817434099,-0.08248220528895656,-0.6024508003997192,0.5230783329675702,0.12493268298524633,0.228936393378195,-0.6131705594947808,-0.0460482077921592,-0.08876510436495548,1.0356765844175748,-0.06686800693905262,0.1820535847005286,-0.18801103020650067,-0.23933852752272833,0.17820468843397227
SM_J_,-47.24355379052653,-5.033008474002873,1.1587007069139437,-4.640145940770296,1.3532692594903977,-0.07523006682309777,-1.9392591610035868,2.9618270394473143,0.2947740455499537,-1.2409638326321848,0.6836557563111583,-2.219467276220321,2.0747699716017665,1.9618407608578519,0.9598104118029761,-1.6120770390279096,1.3300377604338849,0.49557477947246475,0.509743322207249,-1.424341704244881,0.7308284100073836,-0.5485303591420734,-0.3373658678182384,-1.9565666127393009,-0.6979039782503415,-1.2460028535566632,-0.1530699622231075,-0.5394112331813811,-1.723521007127679,0.7384233446718343,-0.7353972055774324,0.08133911803579344,0.2334358619352075,0.5321796314082873,0.5561703594120185,0.433145913809571,-0.22744346145542807,0.6247168705673902,0.6896582987593323,0.2606705869054015,-0.8431267340384573,0.7601712820439532,-0.1670872668365541,-0.11846371739060248,-1.5524327418067367,1.6237021329349437,0.0023336722151512425,-0.15466044055681138,-0.7081643771522479,0.5138580896415654,-0.041828953082350566,0.23936122840375515,-0.6805926592795377,-0.1012855253881887,-0.020726580711657634,0.9812966716036896,-0.049826406268324755,0.17281886504371682,-0.18488162320755783,-0.2716568060319524,0.17820468843397627
SKIVE_EiJ_,-47.23848662470145,-4.371781890303554,-0.48372329592701196,-5.238565346137069,1.3949542641366575,-0.5317932735689396,-1.5700669290339615,1.4655150390282086,-1.3138246975358012,-2.546085926351026,2.0086918988557776,-2.1039606011504044,1.3435609561888648,1.9373979098457907,0.7825675928904231,-0.9431984470934798,1.5469581103107173,0.3510648856487042,0.3249307701196151,-0.9495351231920238,0.897189781137572,-1.0840001775505237,-0.7413389492154208,-1.8041272886909492,-0.6832738125903448,-1.0358892773130233,-0.5712822178369161,-0.469941113821131,-1.70489942327844,0.7863291560320792,-0.8430247778514183,0.05396964729672007,0.25605708811146666,0.5396310171480146,0.695104880444014,0.46466404691443625,-0.23950824907138152,0.49659483915413566,0.5658603338238208,0.4552287056647048,-0.6865556821960268,0.7795354104757761,-0.09624747881169028,-0.17213120338528326,-1.550080119237316,1.6700097484632164,0.016138662388627975,-0.1567419930679411,-0.48608413712366105,0.595232817380031,-0.03756097204219458,0.2619558205261457,-0.7166483492946791,-0.054788490930658906,-0.05779727432766336,1.0478862950171173,-0.11912612542994318,0.12653803423177096,-0.2728798231820368,-0.23163434781104553,0.17820468843397824
SJL_J_,-48.417866450689864,-4.510960339248157,1.1134124117433088,-4.760948852533738,1.0408506249677572,-0.9951011446547824,-2.239486530976947,1.745292381259066,-1.1548065324153998,-1.6467714437270988,0.6700901725990401,-1.6278808804270501,1.9359939733454437,1.7203695117694187,0.2169255583957491,-1.233983566875398,1.186851945654502,0.6856859230814928,0.5336129640823924,-1.2023089015784818,0.8310925495024566,-0.6613275759539252,-0.44800881960017697,-1.9700577014656941,-0.3306623891284272,-1.1615271770067792,-0.568377249385928,-0.43037518632532823,-1.5406644294595317,0.6521475547966884,-0.645113036384879,0.10512194003998257,-0.006472510732836718,0.3860403321423719,0.6821962158391262,0.4842652797437998,0.17601468088237704,0.36191881381052343,0.3676984982439756,0.30288198332182986,-0.5674258132297201,0.6290533428648543,0.21397821538420975,-0.1456595868216556,-1.530917570135953,1.6558100565288085,-0.10191003474449203,-0.11437618408761485,-0.5143300409469177,0.3990928662281862,0.04334796391951599,0.2814034964705336,-0.609406171729065,0.09693746478583389,0.053839669278283986,0.9869337774499082,-0.01055013265055813,0.16278930630693766,-0.1373674127407355,-0.23734612553774792,0.17820468843396936
SF_CamEiJ_,-45.18631861618279,-7.793044829696686,0.48129093295852576,-5.729303207482071,1.880660393069535,-1.6439827527935393,-2.412803972723717,0.8568407593052916,-1.1076335226735519,-1.6489774597748008,1.1714941366924208,-1.538982804310621,1.9777133752483371,1.5745640486843206,0.9661071747074174,-1.7293145919799269,1.259063067570181,0.3739798272184185,0.16613009271883195,-1.4464640584936548,0.5797287090713036,-0.7167368005022312,-0.4017804572424403,-1.3297496204339132,-0.5927469257774407,-1.2019958602188572,-0.4335810987677966,-0.4224756128984292,-1.6846492065496292,0.7625587827997167,-0.491056598620202,0.08911199544677245,0.2774785190422345,0.5117504901274385,0.19954334877537544,0.2294810084984911,-0.08629624220393063,0.6102543634532435,0.5926486962963206,0.25931425529499996,-0.7853850320634845,0.7083379719253992,0.0912273138352402,-0.2944432640499181,-1.4785934359197561,1.7815430295989818,-0.0008280179998834594,-0.14451202042467823,-0.5817842512089839,0.5229336349875578,0.07706403666519425,0.2358305582015108,-0.6773929881947837,-0.060507043197355254,-0.06385098576861253,0.9816647099157728,-0.08317163961659589,0.1581566401780428,-0.20491434283432977,-0.28966710180771993,0.1782046884339707
PWK_PhJ_,-45.39590745531971,-4.142339759488184,-0.2756080081413887,-4.870613655256207,1.21024169120203,0.21256593644547142,-1.7058880921201756,2.2204867952127554,-0.9281862348086,-1.498290756986656,1.6381933466110934,-1.7984394178911165,1.8444952416915725,2.361241870753663,1.0850267068808517,-1.3222881094545091,1.466749583202293,0.3524846655641303,0.5059161940419045,-1.2026844411633935,0.8734745544105179,-0.6572820466464249,-0.5866449172088097,-1.3891089802545233,-0.28179195508551635,-0.9983101509535919,-0.7693947527853879,-0.3242203312203296,-1.7604176813423498,0.708761872375621,-0.5462619696601704,0.06978755267298443,-0.17423699345007948,0.4747369114825066,0.09127361752007355,0.2882267679317376,0.2272092128161539,0.47049440647220453,0.45484985692088137,0.308413368630615,-0.8038653077737745,0.8713199720246054,-0.08977562760875808,-0.22969423077576878,-1.3785023080257124,1.6711392835394914,-0.055972094187082384,-0.3252030204186915,-0.6670994436207378,0.4410866483508904,0.007100638957032416,0.3082300180747599,-0.7004242894397775,-0.06322981102367979,-0.07258250975718285,1.0133675688893071,0.0824773720991202,0.14060790138421017,-0.216368327591129,-0.25007695912322864,0.17820468843397208
PWD_PhJ_,-46.09198382050954,-3.6201803600935856,-0.26417873286250837,-5.1795705426001915,0.7605934941861823,0.0906662778922706,-2.4870559353788413,2.1539276001707384,-1.3596928384233395,-1.883395066700462,0.7407324660529379,-1.4155223398307855,2.1713232866573753,2.3012453947585643,0.609985247214836,-1.7268511735123895,1.063953010487556,0.1476025198232083,0.8424611383251099,-1.5344214088230386,0.9736894620578398,-0.6883596277396669,-0.5723312883832719,-1.227474635299563,-0.6605822251012948,-1.2305760296338846,-0.4525278788247944,-0.4040679421383072,-1.282910783037499,0.9646157476274407,-0.44267003564963386,0.1890473096863821,-0.09026515230466084,0.27419783775215134,0.48004121106080494,0.7194145430918767,-0.2453562219965305,0.6062293950754033,0.4347532655977473,0.34505685864744706,-0.8293772416151408,0.7744733162330929,0.07323473238956434,-0.32833743678181515,-1.5194094404325778,1.6504146621870521,0.09960936326679376,-0.08393549563488296,-0.47525780657277195,0.6053828039729603,0.04097139421293726,0.22037365855118182,-0.6574782895128364,-0.07688414382534699,-0.07508793801504714,0.9642510039371676,-0.10406112103514642,0.17122193102542801,-0.23656673586525245,-0.29105413188472395,0.17820468843397427
